4K高清,#genre#
东南卫视,http://223.110.241.137:6610/gitv/live1/G_DONGNAN-HQ/G_DONGNAN-HQ/1.m3u8
河北卫视,http://223.110.241.137:6610/gitv/live1/G_HEBEI-HQ/G_HEBEI-HQ/1.m3u8
宁夏卫视,http://223.110.241.137:6610/gitv/live1/G_NINGXIA/G_NINGXIA/1.m3u8
甘肃卫视,http://223.110.241.137:6610/gitv/live1/G_GANSU/G_GANSU/1.m3u8
青海卫视,http://223.110.241.137:6610/gitv/live1/G_QINGHAI/G_QINGHAI/1.m3u8
安多卫视,http://223.110.241.137:6610/gitv/live1/G_ANDUO/G_ANDUO/1.m3u8
陕西卫视,http://223.110.241.137:6610/gitv/live1/G_SHANXI/G_SHANX/1.m3u8
农林卫视,http://223.110.241.137:6610/gitv/live1/G_NONGLIN/G_NONGLIN/1.m3u8
山西卫视,http://223.110.241.137:6610/gitv/live1/SXWS/SXWS/1.m3u8
厦门卫视,http://223.110.241.137:6610/gitv/live1/G_XIAMEN/G_XIAMEN/1.m3u8
广西卫视,http://223.110.241.137:6610/gitv/live1/GXWS/GXWS/1.m3u8
康巴卫视,http://223.110.241.137:6610/gitv/live1/G_KANGBA/G_KANGBA/1.m3u8
新疆卫视,http://223.110.241.137:6610/gitv/live1/G_XINJIANG/G_XINJIANG/1.m3u8
兵团卫视,http://223.110.241.137:6610/gitv/live1/G_BINGTUAN/G_BINGTUAN/1.m3u8
西藏卫视,http://223.110.241.137:6610/gitv/live1/G_XIZANG/G_XIZANG/1.m3u8
海南卫视,http://223.110.241.137:6610/gitv/live1/LYWS/LYWS/1.m3u8
内蒙古卫视,http://223.110.241.137:6610/gitv/live1/G_NEIMENGGU/G_NEIMENGGU/1.m3u8
延边卫视,http://223.110.241.137:6610/gitv/live1/G_YANBIAN/G_YANBIAN/1.m3u8
江苏城市,http://223.110.241.137:6610/gitv/live1/G_JSCS/G_JSCS/1.m3u8
江苏公共,http://223.110.241.137:6610/gitv/live1/G_JSGG/G_JSGG/1.m3u8
江苏影视,http://223.110.241.137:6610/gitv/live1/G_JSYS/G_JSYS/1.m3u8
江苏休闲体育,http://223.110.241.137:6610/gitv/live1/G_JSTY/G_JSTY/1.m3u8
江苏综艺,http://223.110.241.137:6610/gitv/live1/G_JSZY/G_JSZY/1.m3u8
江苏教育,http://223.110.241.137:6610/gitv/live1/G_JSJY/G_JSJY/1.m3u8

其他_8866,#genre#
Playboy Plus,http://rhsbjv7k.tvclub.xyz/iptv/WCKQ3HC3UMGVLG/6242/index.m3u8
Playboy,http://rhsbjv7k.tvclub.xyz/iptv/WCKQ3HC3UMGVLG/527/index.m3u8
Playboy LA,http://rhsbjv7k.tvclub.xyz/iptv/WCKQ3HC3UMGVLG/6280/index.m3u8
PLAYBOY TV,http://rhsbjv7k.tvclub.xyz/iptv/WCKQ3HC3UMGVLG/12135/index.m3u8
Playboy Plus,http://c4dd5336.edemist.com/iptv/V4ZUD45ZF6ATGU8AKVBGHN9Z/6242/index.m3u8
Playboy,http://c4dd5336.edemist.com/iptv/V4ZUD45ZF6ATGU8AKVBGHN9Z/527/index.m3u8
Playboy LA,http://c4dd5336.edemist.com/iptv/V4ZUD45ZF6ATGU8AKVBGHN9Z/6280/index.m3u8
PLAYBOY TV,http://c4dd5336.edemist.com/iptv/V4ZUD45ZF6ATGU8AKVBGHN9Z/12135/index.m3u8

